"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2024","23,477.43","23,421.13","23,509.42","23,281.34","","-0.02%"
"10/21/2024","23,480.96","23,614.49","23,743.40","23,460.55","","-1.01%"
"10/18/2024","23,720.30","23,576.42","23,816.90","23,576.42","","0.39%"
"10/17/2024","23,628.95","23,399.64","23,755.12","23,392.86","","1.22%"
"10/16/2024","23,343.15","23,121.46","23,402.66","23,121.46","","-0.40%"
"10/15/2024","23,436.54","23,664.19","23,684.34","23,403.11","","-1.02%"
"10/14/2024","23,678.33","23,620.45","23,712.85","23,499.17","","0.32%"
"10/11/2024","23,603.03","23,456.62","23,633.02","23,373.02","","0.48%"
"10/10/2024","23,489.96","23,495.61","23,557.77","23,409.94","","-0.24%"
"10/09/2024","23,547.60","23,444.61","23,570.93","23,374.85","","0.52%"
"10/08/2024","23,426.83","23,299.26","23,491.39","23,284.99","","-0.72%"
"10/07/2024","23,597.21","23,584.59","23,626.20","23,391.16","","0.46%"
"10/04/2024","23,489.27","23,251.02","23,583.94","23,236.75","","0.85%"
"10/03/2024","23,291.21","23,532.44","23,532.48","23,231.13","","-1.32%"
"10/02/2024","23,602.10","23,655.74","23,744.52","23,512.99","","0.05%"
"10/01/2024","23,591.12","23,744.58","23,841.90","23,507.20","","-0.81%"
"09/30/2024","23,783.25","24,133.09","24,182.36","23,780.35","","-2.00%"
"09/27/2024","24,269.26","24,177.87","24,309.29","24,120.05","","0.64%"
"09/26/2024","24,114.47","23,868.23","24,114.47","23,835.78","","2.33%"
"09/25/2024","23,564.81","23,513.91","23,658.63","23,506.45","","-0.40%"
"09/24/2024","23,659.45","23,673.34","23,753.47","23,570.29","","1.28%"
"09/23/2024","23,360.98","23,335.59","23,394.23","23,200.30","","0.11%"
"09/20/2024","23,335.94","23,638.55","23,656.23","23,335.94","","-1.51%"
"09/19/2024","23,694.20","23,512.61","23,694.20","23,397.58","","2.29%"
"09/18/2024","23,163.70","23,303.52","23,320.53","23,161.43","","-0.57%"
"09/17/2024","23,295.97","23,288.88","23,409.38","23,253.90","","0.51%"
"09/16/2024","23,177.82","23,124.07","23,274.77","23,117.50","","-0.21%"
"09/13/2024","23,227.01","23,153.29","23,306.63","23,144.58","","0.41%"
"09/12/2024","23,133.10","23,269.50","23,285.83","22,997.66","","0.52%"
"09/11/2024","23,014.13","23,083.23","23,187.90","22,909.83","","-0.14%"
"09/10/2024","23,047.49","23,068.79","23,262.12","22,982.08","","-0.24%"
"09/09/2024","23,102.56","22,951.55","23,164.15","22,930.33","","0.99%"
"09/06/2024","22,875.57","23,098.93","23,229.77","22,843.31","","-1.07%"
"09/05/2024","23,123.41","23,223.97","23,329.14","23,123.41","","-0.92%"
"09/04/2024","23,338.15","23,304.31","23,431.04","23,280.35","","-0.98%"
"09/03/2024","23,568.79","23,832.34","23,868.54","23,537.32","","-0.93%"
"09/02/2024","23,790.68","23,736.03","23,799.01","23,561.52","","0.20%"
"08/30/2024","23,742.54","23,787.91","23,938.15","23,742.54","","-0.13%"
"08/29/2024","23,773.67","23,575.22","23,785.27","23,572.70","","0.84%"
"08/28/2024","23,576.77","23,607.26","23,683.35","23,576.77","","0.16%"
"08/27/2024","23,539.80","23,650.20","23,724.30","23,539.80","","-0.32%"
"08/26/2024","23,616.28","23,577.85","23,672.14","23,576.66","","0.18%"
"08/23/2024","23,574.83","23,474.30","23,594.91","23,441.85","","0.70%"
"08/22/2024","23,410.13","23,422.12","23,548.65","23,408.33","","-0.01%"
"08/21/2024","23,412.04","23,294.38","23,429.95","23,294.38","","0.52%"
"08/20/2024","23,290.72","23,393.29","23,433.74","23,278.10","","-0.22%"
"08/19/2024","23,341.38","23,164.96","23,396.93","23,163.12","","0.70%"
"08/16/2024","23,178.62","23,155.58","23,211.69","23,090.82","","0.35%"
"08/15/2024","23,096.69","22,887.31","23,140.16","22,769.30","","1.23%"
"08/14/2024","22,816.63","22,806.70","22,816.63","22,700.06","","0.79%"
"08/13/2024","22,637.78","22,643.46","22,659.49","22,470.42","","0.35%"
"08/12/2024","22,559.37","22,703.01","22,736.03","22,508.11","","-0.26%"
"08/09/2024","22,618.62","22,587.47","22,773.56","22,506.55","","0.31%"
"08/08/2024","22,549.33","22,473.31","22,594.86","22,305.23","","-0.26%"
"08/07/2024","22,607.09","22,283.31","22,675.03","22,233.32","","1.91%"
"08/06/2024","22,184.03","22,277.47","22,352.84","21,997.30","","-0.27%"
"08/05/2024","22,243.01","22,089.30","22,272.92","21,871.68","","-1.42%"
"08/02/2024","22,562.89","22,808.05","22,869.32","22,488.18","","-1.61%"
"08/01/2024","22,932.05","23,267.10","23,295.05","22,893.57","","-2.14%"
"07/31/2024","23,433.09","23,537.67","23,598.00","23,392.59","","0.76%"
"07/30/2024","23,257.14","23,215.66","23,339.98","23,182.46","","0.42%"
"07/29/2024","23,160.39","23,482.74","23,483.36","23,115.57","","-0.98%"
"07/26/2024","23,390.14","23,162.15","23,416.85","23,109.46","","1.22%"
"07/25/2024","23,108.04","23,075.96","23,120.24","22,841.18","","-1.15%"
"07/24/2024","23,377.83","23,337.22","23,459.41","23,223.42","","-1.12%"
"07/23/2024","23,642.00","23,733.43","23,838.43","23,562.19","","-0.31%"
"07/22/2024","23,714.77","23,563.51","23,804.71","23,542.15","","1.16%"
"07/19/2024","23,442.52","23,540.11","23,553.96","23,377.63","","-0.69%"
"07/18/2024","23,604.41","23,665.67","23,811.84","23,519.00","","0.21%"
"07/17/2024","23,555.44","23,509.77","23,657.00","23,412.57","","-0.09%"
"07/16/2024","23,577.62","23,588.41","23,650.36","23,504.58","","-0.69%"
"07/15/2024","23,741.46","23,895.84","23,990.74","23,697.99","","-1.19%"
"07/12/2024","24,026.43","23,841.71","24,066.37","23,823.54","","1.27%"
"07/11/2024","23,724.12","23,680.43","23,782.74","23,568.18","","0.71%"
"07/10/2024","23,557.46","23,407.00","23,577.90","23,289.45","","0.86%"
"07/09/2024","23,355.62","23,627.20","23,645.48","23,280.84","","-1.56%"
"07/08/2024","23,725.10","23,757.57","24,094.04","23,725.10","","-0.63%"
